Feature ID	Taxon
ASV_139	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Hahellaceae;g__Hahella;s__
ASV_140	k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__;g__;s__
ASV_141	k__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Cyanothece_ATCC_51142_(UCYN-C);s__
ASV_142	k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__;g__;s__
ASV_143	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__
ASV_144	k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacter;s__
ASV_145	k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__ADurb.Bin120;s__
ASV_146	k__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfospira;s__
ASV_147	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__
ASV_148	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__
ASV_149	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__
ASV_150	k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Nitriliruptorales;f__Nitriliruptoraceae;g__;s__
ASV_151	k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Puniceicoccaceae;g__Verruc-01;s__
ASV_152	k__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group;o__;f__;g__;s__
ASV_153	k__Bacteria;p__Planctomycetota;c__OM190;o__;f__;g__;s__
ASV_154	k__Bacteria;p__;c__;o__;f__;g__;s__
ASV_155	k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__;s__
ASV_156	k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__;g__;s__
ASV_157	k__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__
ASV_158	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__
ASV_159	k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__;s__
ASV_160	k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Euzebyales;f__Euzebyaceae;g__;s__
ASV_161	k__Bacteria;p__Zixibacteria;c__;o__;f__;g__;s__
ASV_162	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__
ASV_163	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gramella;s__
ASV_164	k__Bacteria;p__Elusimicrobiota;c__Lineage_IIb;o__;f__;g__;s__
ASV_165	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__
ASV_166	k__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Rubricoccus;s__
ASV_167	k__Bacteria;p__Latescibacterota;c__;o__;f__;g__;s__
ASV_168	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__;s__
ASV_169	k__Bacteria;p__Myxococcota;c__Polyangiia;o__Haliangiales;f__Haliangiaceae;g__;s__
ASV_170	k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__;s__
ASV_171	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__;s__
ASV_172	k__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Acrophormium_PCC-7375;s__
ASV_173	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__
ASV_174	k__Bacteria;p__;c__;o__;f__;g__;s__
ASV_175	k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__
ASV_176	k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__;g__;s__
ASV_177	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__
ASV_178	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Amoebophilaceae;g__;s__
ASV_179	k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__
ASV_180	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__
ASV_181	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zunongwangia;s__
ASV_182	k__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__;s__
ASV_183	k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__;f__;g__;s__
ASV_184	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__;f__;g__;s__
ASV_185	k__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Arcobacter;s__
ASV_186	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__
ASV_187	k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula;s__
ASV_188	k__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__Sandaracinaceae;g__;s__
ASV_189	k__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__
ASV_190	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__
