"","Taxa","Method","Group","Letter","Significance"
"144","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales","anova","ColaDeBallena","a","a"
"145","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales","anova","ColaDeBallena","a","a"
"146","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales","anova","EsteroZacatecas","a","a"
"147","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales","anova","ColaDeBallena","a","a"
"148","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales","anova","EsteroZacatecas","a","a"
"149","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales","anova","ColaDeBallena","a","a"
"150","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales","anova","EsteroZacatecas","a","a"
"151","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales","anova","EsteroZacatecas","a","a"
"152","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales","anova","ColaDeBallena","a","a"
"153","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales","anova","ColaDeBallena","a","a"
"154","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales","anova","EsteroZacatecas","a","a"
"155","k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales","anova","ColaDeBallena","a","a"
"156","k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales","anova","EsteroZacatecas","b","b"
"157","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales","anova","ColaDeBallena","a","a"
"158","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales","anova","EsteroZacatecas","b","b"
"159","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Synechococcales","anova","EsteroZacatecas","a","a"
"160","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Synechococcales","anova","ColaDeBallena","b","b"
"161","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales","anova","ColaDeBallena","a","a"
"162","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales","anova","EsteroZacatecas","a","a"
"163","k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales","anova","EsteroZacatecas","a","a"
"164","k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales","anova","ColaDeBallena","a","a"
"165","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","anova","ColaDeBallena","a","a"
"166","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae","anova","EsteroZacatecas","a","a"
"167","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","anova","ColaDeBallena","a","a"
"168","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae","anova","EsteroZacatecas","a","a"
"169","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","anova","EsteroZacatecas","a","a"
"170","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","anova","ColaDeBallena","a","a"
"171","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","anova","EsteroZacatecas","a","a"
"172","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","anova","ColaDeBallena","a","a"
"173","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","anova","EsteroZacatecas","a","a"
"174","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","anova","ColaDeBallena","b","b"
"175","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","anova","ColaDeBallena","a","a"
"176","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","anova","EsteroZacatecas","a","a"
"177","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","anova","ColaDeBallena","a","a"
"178","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","anova","EsteroZacatecas","b","b"
"179","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","anova","EsteroZacatecas","a","a"
"180","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","anova","ColaDeBallena","b","b"
"181","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","anova","EsteroZacatecas","a","a"
"182","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","anova","ColaDeBallena","a","a"
"183","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","anova","ColaDeBallena","a","a"
"184","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","anova","EsteroZacatecas","b","b"
"185","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","anova","EsteroZacatecas","a","a"
"186","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","anova","ColaDeBallena","a","a"
"187","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","anova","EsteroZacatecas","a","a"
"188","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","anova","ColaDeBallena","a","a"
