"","February_ColaDeBallena","February_EsteroZacatecas","September_ColaDeBallena","September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena","February_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_EsteroZacatecas","September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena","February_ColaDeBallena-February_EsteroZacatecas-September_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas"
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Spongiibacteraceae|g__",0.0144927536231884,0,0,0,0,0.00854700854700855,0,0,0,0.0277777777777778,0,0,0,0.00490196078431373
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Hasllibacter",0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0.0217391304347826,0
"k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b|g__",0,0.0128205128205128,0,0,0,0.00854700854700855,0,0.0104166666666667,0,0,0,0,0,0.0196078431372549
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae|g__",0.0144927536231884,0.0128205128205128,0,0,0,0.00854700854700855,0,0.00520833333333333,0,0,0,0,0,0.00980392156862745
"k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales|f__Caldilineaceae|g__",0,0,0,0,0,0,0,0.015625,0,0.0277777777777778,0,0,0,0.00490196078431373
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidetes_BD2-2|g__",0.0144927536231884,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0.00490196078431373
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Rhodopirellula",0,0,0,0,0,0.00854700854700855,0,0.0104166666666667,0,0,0.0263157894736842,0,0,0
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Microtrichaceae|g__",0.0289855072463768,0,0,0,0,0,0,0.00520833333333333,0,0,0,0,0,0.00980392156862745
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Pleurocapsa_PCC-7319",0,0.0128205128205128,0,0,0,0,0,0.0260416666666667,0,0,0,0,0,0.00490196078431373
"k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales|f__Longimicrobiaceae|g__YC-ZSS-LKJ147",0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Thiophaeococcus",0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halomonadaceae|g__Halomonas",0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Gemmatimonadota|c__BD2-11_terrestrial_group|o__|f__|g__",0,0,0,0,0,0.0170940170940171,0,0,0,0,0.0263157894736842,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudohongiellaceae|g__Pseudohongiella",0,0,0,0,0,0.0170940170940171,0,0,0,0,0.0263157894736842,0,0,0
"k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Patulibacter",0,0,0,0.037037037037037,0,0,0,0.00520833333333333,0,0,0,0,0,0
"k__Bacteria|p__Myxococcota|c__Polyangiia|o__Haliangiales|f__Haliangiaceae|g__",0,0,0,0.037037037037037,0,0,0,0.00520833333333333,0,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium",0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0.00490196078431373
