Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Chloroflexota	Dehalococcoidia	MSBL5	Unclassified	43	9	1	8	Unclassified	0.01
Myxococcota	Polyangiia	MidBa8	Unclassified	42	4	1	7	Unclassified	0.01
Patescibacteria	WWE3	Unclassified	Unclassified	40	4	3	3	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	39	8	3	6	Unclassified	0.01
Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	38	5	1	6	Mariprofundus	0.01
Patescibacteria	Microgenomatia	Candidatus_Pacebacteria	Unclassified	38	5	3	4	Unclassified	0.01
Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	36	3	1	5	Acidiferrimicrobium	0.01
Nitrospinota	P9X2b3D02	Unclassified	Unclassified	36	3	2	7	Unclassified	0.01
Marinimicrobia_(SAR406_clade)	Unclassified	Unclassified	Unclassified	36	5	2	6	Unclassified	0.01
Planctomycetota	Phycisphaerae	mle1-8	Unclassified	36	10	1	7	Unclassified	0.01
Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	Unclassified	35	6	1	7	Unclassified	0.01
Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	35	5	4	4	Subgroup_10	0.01
Actinomycetota	Actinobacteria	Unclassified	Unclassified	34	8	2	8	Unclassified	0.01
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	C2U	32	2	2	3	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	32	7	1	7	Reinekea	0.01
Bdellovibrionota	Oligoflexia	0319-6G20	Unclassified	31	10	4	11	Unclassified	0.01
Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	30.5	2	1	4	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Unclassified	30	6	4	6	Unclassified	0.01
Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	30	7	2	6	Candidatus_Omnitrophus	0.01
MBNT15	Unclassified	Unclassified	Unclassified	30	6	1	4	Unclassified	0.01
Pseudomonadota	Alphaproteobacteria	Micavibrionales	Unclassified	30	5	1	5	Unclassified	0.01
Planctomycetota	Phycisphaerae	S-70	Unclassified	28	5	2	4	Unclassified	0.01
Planctomycetota	Unclassified	Unclassified	Unclassified	27	7	3	8	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Beggiatoales	Beggiatoaceae	27	5	1	5	Unclassified	0.01
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Unclassified	27	3	1	4	Unclassified	0.01
Acidobacteriota	Subgroup_21	Unclassified	Unclassified	26	1	1	1	Unclassified	0.01
Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	26	4	2	5	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	24	1	2	1	Azohydromonas	0.01
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	24	1	1	4	Roseospirillum	0.01
Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae	23	6	2	6	Unclassified	0.01
Acidobacteriota	Acidobacteriae	Subgroup_15	Unclassified	23	3	1	2	Unclassified	0.01
Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	23	5	1	5	Bryobacter	0.01
Patescibacteria	ABY1	Candidatus_Uhrbacteria	Unclassified	22	5	1	3	Unclassified	0.01
Pseudomonadota	Alphaproteobacteria	Parvibaculales	PS1_clade	22	2	2	3	Unclassified	0.01
