Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Bacteroidota	Bacteroidia	Cytophagales	Mooreiaceae	3312	8	6	22	Mooreia	0.06
Myxococcota	Polyangiia	MidBa8	Unclassified	3264.5	34	9	11	Unclassified	0.06
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	OM182_clade	3234	19	8	15	Unclassified	0.06
Bacteroidota	Bacteroidia	Unclassified	Unclassified	3055.67	67	9	23	Unclassified	0.06
Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	2983	55	8	21	Sumerlaea	0.06
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Microbulbiferaceae	2981.31	19	7	18	Microbulbifer	0.06
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	2934	7	6	20	Filomicrobium	0.05
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	2879.5	4	9	8	Arthrospira_PCC-7345	0.05
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatibacillaceae	2860	10	8	5	Unclassified	0.05
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	2851	19	8	13	Unclassified	0.05
Nitrospirota	Thermodesulfovibrionia	Unclassified	Unclassified	2771	22	5	18	Unclassified	0.05
Candidatus_Kapabacteria	Kapabacteria	Kapabacteriales	Unclassified	2757	28	8	20	Unclassified	0.05
Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	2748	25	9	12	Acanthopleuribacter	0.05
Pseudomonadota	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	2697.97	7	8	6	endosymbionts	0.05
Acidobacteriota	Subgroup_22	Unclassified	Unclassified	2646	37	8	14	Unclassified	0.05
Acidobacteriota	Acidobacteriae	PAUC26f	Unclassified	2585	18	8	14	Unclassified	0.05
Thermodesulfobacteriota	Desulfuromonadia	PB19	Unclassified	2584	21	8	16	Unclassified	0.05
Acidobacteriota	Subgroup_18	Unclassified	Unclassified	2452	6	8	12	Unclassified	0.05
Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	2443	37	8	16	Unclassified	0.05
Thermodesulfobacteriota	Desulfarculia	Desulfarculales	Desulfarculaceae	2404	8	8	10	Desulfocarbo	0.04
Acetothermia	Acetothermiia	Unclassified	Unclassified	2356	8	5	8	AOM-SR-B11	0.04
Patescibacteria	Parcubacteria	Candidatus_Campbellbacteria	Unclassified	2285.75	40	10	20	Unclassified	0.04
Bacteroidota	Bacteroidia	Cytophagales	Unclassified	2277	15	8	18	Unclassified	0.04
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	KF-JG30-B3	2270	3	7	10	Unclassified	0.04
Thermodesulfobacteriota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	2240	4	8	10	Desulfobacca	0.04
Cyanobacteriota	Cyanobacteriia	Synechococcales	Unclassified	2168	5	6	3	Schizothrix_LEGE_07164	0.04
Chloroflexota	KD4-96	Unclassified	Unclassified	2136	5	8	16	Unclassified	0.04
Marinimicrobia_(SAR406_clade)	Unclassified	Unclassified	Unclassified	2129	9	8	10	Unclassified	0.04
Patescibacteria	Gracilibacteria	Unclassified	Unclassified	2021.5	46	10	18	Unclassified	0.04
Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	1962	23	8	16	Unclassified	0.04
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfococcaceae	1954.18	15	8	9	Unclassified	0.04
