Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Bacteroidota	Bacteroidia	Cytophagales	Unclassified	Unclassified	294.5	4	3	11	0.08
Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	Sandaracinus	292	13	2	18	0.08
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Halovulum	291	5	1	12	0.08
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Haliea	286	8	1	18	0.08
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Unclassified	284	9	3	16	0.08
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	Unclassified	282	17	4	13	0.08
Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	280	3	2	4	0.08
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Hanstruepera	279.5	4	3	10	0.08
Pseudomonadota	Gammaproteobacteria	pItb-vmat-80	Unclassified	Unclassified	276	6	3	8	0.08
Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	Unclassified	268	3	2	6	0.08
Acidobacteriota	Acidobacteriae	PAUC26f	Unclassified	Unclassified	262	18	3	14	0.07
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Hahellaceae	Hahella	259	1	4	4	0.07
Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	257	7	3	6	0.07
Chloroflexota	KD4-96	Unclassified	Unclassified	Unclassified	255	5	1	16	0.07
Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unclassified	Unclassified	254	13	2	12	0.07
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pseudahrensia	253	6	2	12	0.07
Acidobacteriota	Vicinamibacteria	Subgroup_17	Unclassified	Unclassified	252	6	2	16	0.07
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Actibacter	245	4	1	17	0.07
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	OM182_clade	Unclassified	244	19	1	15	0.07
Myxococcota	Polyangiia	Nannocystales	Nannocystaceae	Unclassified	239	13	2	17	0.07
Actinomycetota	Actinobacteria	Micrococcales	Unclassified	Unclassified	238.5	10	2	7	0.07
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	Roseibium	234	2	3	8	0.07
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	C1-B045	231.25	6	3	11	0.07
Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	225	10	1	16	0.06
Sumerlaeota	Sumerlaeia	Unclassified	Unclassified	Unclassified	224	22	3	12	0.06
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Pelagibacterium	221	3	1	14	0.06
Ignavibacteriota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	IheB3-7	218	26	2	21	0.06
Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	217.5	17	3	13	0.06
SAR324_clade(Marine_group_B)	Unclassified	Unclassified	Unclassified	Candidatus_Nitrosoarchaeum	215	35	3	20	0.06
Bacteroidota	Bacteroidia	Unclassified	Unclassified	Unclassified	214.67	34	4	21	0.06
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Hahellaceae	Allohahella	209	6	4	7	0.06
Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	Unclassified	208	4	1	4	0.06
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maritimimonas	206	3	1	3	0.06
Pseudomonadota	Alphaproteobacteria	Rickettsiales	SM2D12	Unclassified	203	9	4	12	0.06
Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio	203	2	2	9	0.06
Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Thermomarinilinea	200	4	2	5	0.06
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	198	3	3	6	0.06
Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	198	26	4	18	0.06
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Rubritalea	194.67	11	1	14	0.05
Pseudomonadota	Gammaproteobacteria	AT-s2-59	Unclassified	Unclassified	194	10	2	10	0.05
Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Salinirepens	193	7	1	10	0.05
Zixibacteria	Unclassified	Unclassified	Unclassified	Unclassified	192	22	3	12	0.05
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	191	2	2	14	0.05
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatirhabdiaceae	Unclassified	190	9	3	9	0.05
Actinomycetota	Actinobacteria	Micrococcales	Dermatophilaceae	Unclassified	190	3	2	3	0.05
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix	188	8	2	10	0.05
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Flavilitoribacter	187	12	2	16	0.05
Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	186	8	2	12	0.05
Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Unclassified	Unclassified	184	9	1	13	0.05
Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	Unclassified	182	13	1	14	0.05
Pseudomonadota	Alphaproteobacteria	AT-s3-44	Unclassified	Unclassified	182	2	2	2	0.05
Patescibacteria	Gracilibacteria	Unclassified	Unclassified	Unclassified	180.5	29	3	16	0.05
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Unclassified	178	10	2	12	0.05
Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Wenzhouxiangella	176	2	2	6	0.05
Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Unclassified	170	10	3	12	0.05
Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	Unclassified	170	8	3	8	0.05
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorpha	169	8	1	10	0.05
Pseudomonadota	Alphaproteobacteria	Defluviicoccales	Unclassified	Unclassified	165	6	2	3	0.05
Pseudomonadota	Gammaproteobacteria	Nitrococcales	Nitrococcaceae	Arhodomonas	165	1	1	7	0.05
Pseudomonadota	Gammaproteobacteria	Tenderiales	Tenderiaceae	Candidatus_Tenderia	164	4	4	8	0.05
Planctomycetota	vadinHA49	Unclassified	Unclassified	Unclassified	162	7	2	11	0.05
Bacteroidota	Bacteroidia	Bacteroidales	Unclassified	Unclassified	161	21	3	14	0.05
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified	159	10	4	9	0.04
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	158	3	2	5	0.04
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium	158	7	1	8	0.04
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Hahellaceae	Unclassified	154	1	4	1	0.04
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Roseovarius	150	4	4	5	0.04
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Seongchinamella	148	6	3	8	0.04
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfofustis	148	10	1	7	0.04
Chloroflexota	Anaerolineae	Aggregatilineales	Aggregatilineaceae	Aggregatilinea	142	11	2	10	0.04
