taxon_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	contribution	n_ecs	n_samples
ASV_12005	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Owenweeksia	Unclassified	9	6	1
ASV_12072	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Fulvimarina	Unclassified	9	6	1
ASV_1209	Bacteria	Patescibacteria	Parcubacteria	Unclassified	Unclassified	Unclassified	Unclassified	9	7	1
ASV_12161	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Unclassified	Unclassified	9	6	1
ASV_12175	Bacteria	Bacteroidota	Bacteroidia	Unclassified	Unclassified	Unclassified	Unclassified	9	7	1
ASV_12222	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unclassified	Unclassified	9	6	1
ASV_12277	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	Unclassified	9	6	1
ASV_12407	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Unclassified	Unclassified	9	7	1
ASV_12439	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Unclassified	Unclassified	9	7	1
ASV_12465	Bacteria	Gemmatimonadota	BD2-11_terrestrial_group	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_12492	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9	7	1
ASV_12551	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Unclassified	Unclassified	Unclassified	9	5	1
ASV_12561	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified	Unclassified	9	6	1
ASV_12611	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	Unclassified	9	6	1
ASV_12716	Bacteria	Planctomycetota	OM190	Unclassified	Unclassified	Unclassified	Unclassified	9	5	1
ASV_12726	Bacteria	Planctomycetota	Planctomycetes	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_1274	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
