Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae	Marinomonas	11103	23	8	22	0.21
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A_clade	Unclassified	11084	32	8	23	0.21
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Silicimonas	10742	14	6	21	0.2
Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	Unclassified	10461.36	159	9	24	0.2
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Haloferula	10417	38	7	22	0.19
Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Euzebya	10374	10	9	23	0.19
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Myxosarcina_GI1	10050	15	7	19	0.19
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingopyxis	10010	15	7	23	0.19
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	9891.2	15	7	17	0.19
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	9808	4	8	19	0.18
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Oricola	9716	4	6	23	0.18
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	9636	33	7	19	0.18
Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Unclassified	Unclassified	9529	21	8	23	0.18
Planctomycetota	Planctomycetes	Planctomycetales	Unclassified	Unclassified	9511.5	113	7	24	0.18
Chloroflexota	Anaerolineae	Aggregatilineales	Unclassified	Unclassified	9419.5	59	9	23	0.18
Balneolota	Balneolia	Balneolales	Balneolaceae	Unclassified	9417	36	9	23	0.18
Actinomycetota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	9390	1	9	17	0.18
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina	9293	22	8	18	0.17
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfopila	9276	15	8	17	0.17
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	9234	50	8	23	0.17
Actinomycetota	Actinobacteria	Frankiales	Sporichthyaceae	Sporichthya	9072	1	8	10	0.17
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Aestuariibacter	8899	8	7	10	0.17
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Unclassified	8782	30	8	21	0.16
Pseudomonadota	Gammaproteobacteria	HOC36	Unclassified	Unclassified	8780.74	40	9	24	0.16
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Candidatus_Electrothrix	8654	15	8	12	0.16
Planctomycetota	OM190	Unclassified	Unclassified	Unclassified	8587	133	10	23	0.16
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	8333.5	28	9	21	0.16
Chloroflexota	Anaerolineae	Ardenticatenales	Unclassified	Unclassified	8233	32	9	17	0.15
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	Ketobacter	8105.5	18	8	20	0.15
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatitalea	8040	19	8	16	0.15
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavimarina	7686	12	7	22	0.14
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Hasllibacter	7574	8	7	15	0.14
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	Unclassified	7562	41	9	21	0.14
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Allosediminivita	7502	8	5	17	0.14
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pseudahrensia	7361	12	5	15	0.14
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	7304	49	6	22	0.14
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodomicrobiaceae	Rhodomicrobium	7260	10	6	19	0.14
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Jannaschia	7184	13	5	15	0.13
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	Unclassified	7135	39	8	23	0.13
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Chroococcidiopsis_PCC-6712	7116	16	8	15	0.13
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Unclassified	Unclassified	6983.63	29	8	19	0.13
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Phormidium_MBIC10003	6842	22	7	10	0.13
Myxococcota	Polyangiia	Polyangiales	BIrii41	Unclassified	6810	35	9	19	0.13
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Marivita	6744	4	5	9	0.13
Pseudomonadota	Alphaproteobacteria	Defluviicoccales	Unclassified	Unclassified	6679	33	8	22	0.12
Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	OM27_clade	6619	50	8	23	0.12
Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	6562	11	8	15	0.12
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Parahaliea	6538	16	9	17	0.12
Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	6531	3	8	19	0.12
Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	6487.62	39	9	20	0.12
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	6472.16	10	7	19	0.12
Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	6423	20	8	13	0.12
