Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Microbulbiferaceae	765.54	19	3	18	Microbulbifer	0.04
Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	761	55	4	21	Sumerlaea	0.04
Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	755	37	4	16	Unclassified	0.04
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	C2U	744	6	4	7	Unclassified	0.04
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	735	11	4	15	Unclassified	0.04
Candidatus_Kapabacteria	Kapabacteria	Kapabacteriales	Unclassified	714	28	4	20	Unclassified	0.04
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	694.49	21	4	18	Saccharospirillum	0.04
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	686	15	4	11	Marivibrio	0.04
Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	685	44	7	16	Candidatus_Omnitrophus	0.04
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	KF-JG30-B3	681	3	3	10	Unclassified	0.04
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	664.5	4	3	8	Arthrospira_PCC-7345	0.04
Patescibacteria	Microgenomatia	Candidatus_Pacebacteria	Unclassified	653	18	7	10	Unclassified	0.04
Pseudomonadota	Alphaproteobacteria	Micavibrionales	Unclassified	645	36	3	21	Unclassified	0.04
Zixibacteria	Unclassified	Unclassified	Unclassified	638	39	3	15	Unclassified	0.04
Verrucomicrobiota	Kiritimatiellia	WCHB1-41	Unclassified	635	40	4	14	Unclassified	0.04
Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	624	2	7	9	Thermodesulfovibrio	0.03
Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	612	25	3	12	Acanthopleuribacter	0.03
Acidobacteriota	Subgroup_18	Unclassified	Unclassified	580	6	4	12	Unclassified	0.03
Acidobacteriota	Subgroup_22	Unclassified	Unclassified	573	37	4	14	Unclassified	0.03
