Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Pseudomonadota	Alphaproteobacteria	Thalassobaculales	Unclassified	Unclassified	1443.5	24	4	20	0.08
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Robertkochia	1436	16	4	20	0.08
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Pricia	1407	4	4	5	0.08
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Unclassified	1391	25	4	15	0.08
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Lutibaculaceae	Lutibaculum	1380	3	4	12	0.08
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	1374	25	4	18	0.08
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Unclassified	1361	43	4	17	0.08
Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	Unclassified	1357	53	4	21	0.07
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Henriciella	1357	8	4	20	0.07
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	1347	7	3	11	0.07
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altericroceibacterium	1342	2	3	12	0.07
Candidatus_Eremiobacterota	Eremiobacteria	Unclassified	Unclassified	Unclassified	1340	15	4	19	0.07
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Parahaliea	1330	16	4	17	0.07
Pseudomonadota	Alphaproteobacteria	Rickettsiales	SM2D12	Unclassified	1323	69	4	24	0.07
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Catalinimonas	1323	4	3	23	0.07
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Halovulum	1320	11	4	20	0.07
Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Unclassified	1319	68	3	23	0.07
Chloroflexota	Dehalococcoidia	FS117-23B-02	Unclassified	Unclassified	1309	7	7	9	0.07
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatibacillaceae	Unclassified	1298	10	7	5	0.07
Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Pelagicoccus	1296	27	3	17	0.07
Bacillota	Clostridia	Clostridia_vadinBB60_group	Unclassified	Unclassified	1291.96	10	4	8	0.07
Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	1289.5	68	3	20	0.07
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	OM182_clade	Unclassified	1278	19	4	15	0.07
Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiohalocapsa	1260	9	3	9	0.07
Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Lentimonas	1242	14	3	18	0.07
Bacteroidota	Bacteroidia	Cytophagales	Mooreiaceae	Mooreia	1242	8	3	22	0.07
Planctomycetota	Phycisphaerae	CCM11a	Unclassified	Unclassified	1229	37	3	14	0.07
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	Bauldia	1214	7	4	12	0.07
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix	1210	16	4	19	0.07
Myxococcota	Polyangiia	Nannocystales	Nannocystaceae	Unclassified	1206	29	4	19	0.07
Bacteroidota	Bacteroidia	Unclassified	Unclassified	Unclassified	1199	67	7	23	0.07
Verrucomicrobiota	Kiritimatiellia	Kiritimatiellales	Kiritimatiellaceae	R76-B128	1196	21	4	14	0.07
Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Unclassified	Unclassified	1183	52	7	20	0.07
Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	1158	11	3	15	0.06
Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Unclassified	1150	74	5	24	0.06
Bacteroidota	Bacteroidia	Bacteroidetes_VC2.1_Bac22	Unclassified	Unclassified	1134	9	3	15	0.06
Chloroflexota	Anaerolineae	Ardenticatenales	Ardenticatenaceae	Unclassified	1124	4	5	10	0.06
Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Sva1033	Unclassified	1112	9	3	12	0.06
Pseudomonadota	Gammaproteobacteria	UBA10353_marine_group	Unclassified	Unclassified	1097	13	4	17	0.06
Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus_Thiobios	1083	10	3	18	0.06
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	1082.36	10	2	19	0.06
Myxococcota	Polyangiia	MidBa8	Unclassified	Unclassified	1077	34	4	11	0.06
Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	1075	22	7	11	0.06
Bacteroidota	Bacteroidia	Bacteroidales	Unclassified	Unclassified	1073	48	4	16	0.06
Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	1064	10	4	12	0.06
Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	1056	3	3	17	0.06
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Defluviimonas	1038	2	4	3	0.06
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Thioalkalispiraceae	Unclassified	1036	14	4	12	0.06
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatiferula	1032	3	7	3	0.06
Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Marinicella	1014	20	3	14	0.06
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	211ds20	Unclassified	997	9	4	15	0.05
Bacillota	Bacilli	Bacillales	Bacillaceae	Unclassified	991	9	4	10	0.05
Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Verruc-01	987	33	3	18	0.05
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Unclassified	982	24	4	18	0.05
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Actibacter	980	4	4	17	0.05
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	Anderseniella	980	3	4	13	0.05
Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Unclassified	954	34	3	18	0.05
Chloroflexota	Dehalococcoidia	661239	Unclassified	Unclassified	952	8	7	11	0.05
Balneolota	Balneolia	Balneolales	Balneolaceae	Balneola	952	22	3	19	0.05
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	DBS1	944	6	4	12	0.05
Thermodesulfobacteriota	Desulfuromonadia	Bradymonadales	Unclassified	SKP-2	937	41	4	24	0.05
